,Name, StationType, MeanAvgTemperature,yyyy-mm-dd
379,BURNEY, WBAN,47.3,2015-03-01
380,IMPERIAL BEACH REAM FIELD NAS, WBAN,60.6,2015-03-01
381,CAMPO, COOP,55.8,2015-03-01
382,EL CENTRO 2 SSW, COOP,70.2,2015-03-01
383,IMPERIAL COUNTY AP, WBAN,70.4,2015-03-01
384,EL CENTRO NAF, WBAN,74.9,2015-03-01
385,ALPINE, COOP,63.8,2015-03-01
386,LYONS VALLEY CALIFORNIA, RAWS,54.9,2015-03-01
387,LYTLE CREEK CALIFORNIA, RAWS,61.7,2015-03-01
388,MAD RIVER CALIFORNIA, RAWS,52.2,2015-03-01
389,MALIBU HILLS CALIFORNIA, RAWS,67.9,2015-03-01
390,MANZANITA LAKE CALIFORNIA, RAWS,43.1,2015-03-01
391,MILL CREEK (BDF) CALIFORNIA, RAWS,63.5,2015-03-01
392,MCGUIRES CALIFORNIA, RAWS,55.3,2015-03-01
393,MEANS LAKE CALIFORNIA, RAWS,62.6,2015-03-01
394,MENDOCINO PASS CALIFORNIA, RAWS,48.1,2015-03-01
395,METCALF GAP CALIFORNIA, RAWS,60.2,2015-03-01
396,MID HILLS CALIFORNIA, RAWS,54.0,2015-03-01
397,MILL CREEK (ANF) CALIFORNIA, RAWS,56.4,2015-03-01
398,MILO CALIFORNIA, RAWS,63.2,2015-03-01
399,MALLORY RIDGE CALIFORNIA, RAWS,59.2,2015-03-01
400,MONTECITO CALIFORNIA, RAWS,67.6,2015-03-01
401,MODOC NWR CALIFORNIA, RAWS,39.5,2015-03-01
402,MORMON ROCK CALIFORNIA, RAWS,59.5,2015-03-01
403,MOUNTAIN REST CALIFORNIA, RAWS,56.3,2015-03-01
404,MARKLEEVILLE CALIFORNIA, RAWS,46.1,2015-03-01
405,MT. SHASTA CALIFORNIA, RAWS,48.1,2015-03-01
406,MARIPOSA CALIFORNIA, RAWS,57.7,2015-03-01
407,MOUNT ZION CALIFORNIA, RAWS,58.8,2015-03-01
408,NORTH FORK CALIFORNIA, RAWS,57.8,2015-03-01
409,OAK KNOLL CALIFORNIA, RAWS,52.4,2015-03-01
410,OAK MOUNTAIN CALIFORNIA, RAWS,56.5,2015-03-01
411,OAK CREEK CALIFORNIA, RAWS,58.2,2015-03-01
412,OAK GROVE CALIFORNIA, RAWS,58.7,2015-03-01
413,OAKLAND NORTH CALIFORNIA, RAWS,58.7,2015-03-01
414,OAK OPENING CALIFORNIA, RAWS,58.5,2015-03-01
415,OAKLAND SOUTH CALIFORNIA, RAWS,58.6,2015-03-01
416,OPAL MOUNTAIN CALIFORNIA, RAWS,62.7,2015-03-01
417,OWENS CAMP LOC CALIFORNIA, RAWS,48.9,2015-03-01
418,OWENS VALLEY CALIFORNIA, RAWS,57.3,2015-03-01
419,OZENA CALIFORNIA, RAWS,57.0,2015-03-01
420,PANAMINT CALIFORNIA, RAWS,50.8,2015-03-01
421,PARKFIELD CALIFORNIA, RAWS,57.6,2015-03-01
422,PATTY MOCUS CALIFORNIA, RAWS,55.9,2015-03-01
423,PINE HILLS CALIFORNIA, RAWS,56.8,2015-03-01
424,PIERCE CALIFORNIA, RAWS,45.8,2015-03-01
425,PINEHURST CALIFORNIA, RAWS,55.8,2015-03-01
426,PIKE COUNTY LOOKOUT CALIFORNIA, RAWS,56.0,2015-03-01
427,PILOT HILL CALIFORNIA, RAWS,57.2,2015-03-01
428,PARK RIDGE CALIFORNIA, RAWS,46.2,2015-03-01
429,PINNACLES CALIFORNIA, RAWS,60.8,2015-03-01
430,POPPY PARK CALIFORNIA, RAWS,60.8,2015-03-01
431,POTRERO CALIFORNIA, RAWS,58.2,2015-03-01
432,POVERTY CALIFORNIA, RAWS,58.5,2015-03-01
433,PANOCHE ROAD CALIFORNIA, RAWS,61.9,2015-03-01
434,PULGAS CALIFORNIA, RAWS,60.7,2015-03-01
435,QUARTZ HILL CALIFORNIA, RAWS,50.1,2015-03-01
436,QUINCY RD CALIFORNIA, RAWS,52.0,2015-03-01
437,RAVENDALE CALIFORNIA, RAWS,44.7,2015-03-01
438,RANCHITA CALIFORNIA, RAWS,58.1,2015-03-01
439,READER RANCH CALIFORNIA, RAWS,58.0,2015-03-01
440,REDDING AIRPORT CALIFORNIA, RAWS,59.4,2015-03-01
441,RICE VALLEY CALIFORNIA, RAWS,70.4,2015-03-01
442,ROCK CREEK, RAWS,44.8,2015-03-01
443,RODEO VALLEY, RAWS,54.2,2015-03-01
444,ROSE VALLEY CALIFORNIA, RAWS,52.2,2015-03-01
445,ROUND MOUNTAIN, RAWS,46.3,2015-03-01
446,ROSE PEAK CALIFORNIA, RAWS,55.6,2015-03-01
447,RUSH CREEK CALIFORNIA, RAWS,47.7,2015-03-01
448,RUTH CALIFORNIA, RAWS,52.1,2015-03-01
449,SACRAMENTO NWR CALIFORNIA, RAWS,61.8,2015-03-01
450,SADDLEBACK BUTTE CALIFORNIA, RAWS,59.2,2015-03-01
451,SAUGUS CALIFORNIA, RAWS,65.3,2015-03-01
452,SAWYERS BAR CALIFORNIA, RAWS,52.9,2015-03-01
453,SANTA BARBARA ISLAND CALIFORNI, RAWS,63.2,2015-03-01
454,SANTA CRUZ ISLAND CALIFORNIA, RAWS,63.5,2015-03-01
455,SCORPION CALIFORNIA, RAWS,53.6,2015-03-01
456,SODA CREEK CALIFORNIA, RAWS,53.6,2015-03-01
457,SADDLEBACK CALIFORNIA, RAWS,45.9,2015-03-01
458,SECRET TOWN CALIFORNIA, RAWS,56.5,2015-03-01
459,SANTA FE DAM CALIFORNIA, RAWS,71.6,2015-03-01
460,SHAVER CALIFORNIA, RAWS,44.9,2015-03-01
461,SCHOOL HOUSE CALIFORNIA, RAWS,50.8,2015-03-01
462,SHIP MTN. CALIFORNIA, RAWS,44.8,2015-03-01
463,SHADEQUARTER CALIFORNIA, RAWS,56.7,2015-03-01
464,SLATER BUTTE CALIFORNIA, RAWS,47.4,2015-03-01
465,SAN MIGUEL CALIFORNIA, RAWS,66.5,2015-03-01
466,SAN LUIS NWR CALIFORNIA, RAWS,60.6,2015-03-01
467,SANTA RITA CALIFORNIA, RAWS,53.9,2015-03-01
468,SOLDIER MOUNTAIN CALIFORNIA, RAWS,51.6,2015-03-01
469,SOMES BAR CALIFORNIA, RAWS,56.7,2015-03-01
470,SQUAW SPRINGS CALIFORNIA, RAWS,62.9,2015-03-01
471,SQUAW LAKE CALIFORNIA, RAWS,73.6,2015-03-01
472,HEARST CASTLE, COOP,63.4,2015-03-01
473,GETTY CENTER, COOP,66.7,2015-03-01
474,HESPERIA 2E, COOP,59.7,2015-03-01
475,RANCHO BERNARDO, COOP,65.2,2015-03-01
476,OCOTILLO WELLS 2W, COOP,73.6,2015-03-01
477,IRVINE RANCH, COOP,67.2,2015-03-01
478,MT. LAGUNA #3, COOP,51.2,2015-03-01
479,AVALON INLAND, COOP,57.0,2015-03-01
480,DESERT CENTER 2 NNE, COOP,67.8,2015-03-01
481,TORRANCE AP, WBAN,64.7,2015-03-01
482,MERCED 23 WSW, WBAN,58.3,2015-03-01
483,REDDING 12 WNW, WBAN,58.0,2015-03-01
484,STOVEPIPE WELLS 1 SW, WBAN,74.6,2015-03-01
485,LOS ANGELES DOWNTOWN/USC, WBAN,68.2,2015-03-01
486,FRESNO YOSEMITE INT'L, WBAN,64.0,2015-03-01
487,MONTEREY PENINSUL AP, WBAN,57.5,2015-03-01
488,PASO ROBLES MUNICIPAL AP, WBAN,60.2,2015-03-01
489,MONTAGUE SISKIYOU AIRPORT, WBAN,48.4,2015-03-01
490,SAN JOSE, WBAN,60.7,2015-03-01
491,PALM SPRINGS ASOS, WBAN,73.8,2015-03-01
492,SAN DIEGO BROWN FIELD, WBAN,63.9,2015-03-01
493,Bakersfield Area, ThreadEx,64.3,2015-03-01
494,Bishop Area, ThreadEx,55.0,2015-03-01
495,Los Angeles Downtown Area, ThreadEx,68.2,2015-03-01
496,Eureka Area, ThreadEx,52.0,2015-03-01
497,Fresno Area, ThreadEx,64.0,2015-03-01
498,Los Angeles Airport Area, ThreadEx,64.5,2015-03-01
499,Long Beach Area, ThreadEx,67.2,2015-03-01
500,Redding Area, ThreadEx,60.7,2015-03-01
501,Sacramento Area, ThreadEx,61.3,2015-03-01
502,San Diego Area, ThreadEx,66.6,2015-03-01
503,Stockton Area, ThreadEx,61.3,2015-03-01
504,San Francisco Airport Area, ThreadEx,60.3,2015-03-01
505,Santa Maria Area, ThreadEx,61.4,2015-03-01
506,CAMP PENDLETON MCAS, WBAN,63.4,2015-03-01
507,LEMOORE REEVES NAS, WBAN,61.9,2015-03-01
508,ARVIN, COOP,64.2,2015-03-01
509,CHIRIACO SUMMIT, COOP,63.8,2015-03-01
510,EDWARDS AFB NORTH AUXILIARY AIRFIELD, WBAN,61.9,2015-03-01
511,FALLBROOK 5 NE, WBAN,66.1,2015-03-01
512,SANTA BARBARA 11 W, WBAN,59.4,2015-03-01
513,BODEGA 6 WSW, WBAN,53.4,2015-03-01
514,YOSEMITE VILLAGE 12 W, WBAN,48.1,2015-03-01
515,YUCCA MESA, COOP,61.8,2015-03-01
516,YUCCA VALLEY, COOP,59.4,2015-03-01
517,JOHNSON VALLEY, COOP,59.3,2015-03-01
518,CONVERSE CALIFORNIA, RAWS,51.1,2015-03-01
519,COOSKIE MOUNTAIN CALIFORNIA, RAWS,51.2,2015-03-01
520,CORRALITOS CALIFORNIA, RAWS,59.3,2015-03-01
521,COUNTY LINE CALIFORNIA, RAWS,59.4,2015-03-01
522,CAMP 9 CALIFORNIA, RAWS,60.4,2015-03-01
523,CRANE FLAT LOOKOUT CALIFORNIA, RAWS,48.8,2015-03-01
524,CRESTVIEW CALIFORNIA, RAWS,40.4,2015-03-01
525,CORNING CALIFORNIA, RAWS,60.5,2015-03-01
526,CARPENTER RIDGE CALIFORNIA, RAWS,51.0,2015-03-01
527,CRANSTON CALIFORNIA, RAWS,65.3,2015-03-01
528,CRAZY PEAK CALIFORNIA, RAWS,48.6,2015-03-01
529,CASHMAN CALIFORNIA, RAWS,52.6,2015-03-01
530,DESCANSO CALIFORNIA, RAWS,57.4,2015-03-01
531,DEVILS GARDEN CALIFORNIA, RAWS,46.0,2015-03-01
532,DIABLO GRANDE CALIFORNIA, RAWS,60.2,2015-03-01
533,DEMOCRAT CALIFORNIA, RAWS,58.4,2015-03-01
534,DINKEY CALIFORNIA, RAWS,44.7,2015-03-01
535,DOG VALLEY CALIFORNIA, RAWS,42.9,2015-03-01
536,DOYLE CALIFORNIA, RAWS,49.4,2015-03-01
537,DUNCAN CALIFORNIA, RAWS,47.7,2015-03-01
538,DEL VALLE CALIFORNIA, RAWS,65.9,2015-03-01
539,DEVORE CALIFORNIA, RAWS,65.6,2015-03-01
540,EAGLE PEAK CALIFORNIA, RAWS,55.5,2015-03-01
541,EEL RIVER CAMP CALIFORNIA, RAWS,56.3,2015-03-01
542,EEL RIVER CALIFORNIA, RAWS,56.6,2015-03-01
543,EL CARISO CALIFORNIA, RAWS,65.6,2015-03-01
544,MOUNT ELIZABETH CALIFORNIA, RAWS,54.5,2015-03-01
545,EL MIRAGE CALIFORNIA, RAWS,70.8,2015-03-01
546,FANCHER CREEK CALIFORNIA, RAWS,65.1,2015-03-01
547,FAWNSKIN CALIFORNIA, RAWS,44.0,2015-03-01
548,FENCE MEADOW CALIFORNIA, RAWS,54.3,2015-03-01
549,FORT HUNTER LIGGET CALIFORNIA, RAWS,58.9,2015-03-01
550,FIGUEROA CALIFORNIA, RAWS,62.7,2015-03-01
551,FISH CREEK MTN CALIFORNIA, RAWS,76.0,2015-03-01
552,FIVE MILE CALIFORNIA, RAWS,62.6,2015-03-01
553,FORESTHILL CALIFORNIA, RAWS,54.6,2015-03-01
554,FOUNTAIN SPRINGS CALIFORNIA, RAWS,61.7,2015-03-01
555,FREMONT CANYON CALIFORNIA, RAWS,67.3,2015-03-01
556,FRIEND MOUNTAIN CALIFORNIA, RAWS,49.9,2015-03-01
557,GRASSHOPPER CALIFORNIA, RAWS,43.0,2015-03-01
558,GOOSE VALLEY CALIFORNIA, RAWS,65.5,2015-03-01
559,GORDON CALIFORNIA, RAWS,43.4,2015-03-01
560,GREEN SPRING CALIFORNIA, RAWS,60.0,2015-03-01
561,HASTINGS CALIFORNIA, RAWS,58.8,2015-03-01
562,HAWKEYE CALIFORNIA, RAWS,59.1,2015-03-01
563,HAYFORK CALIFORNIA, RAWS,51.5,2015-03-01
564,HELL HOLE CALIFORNIA, RAWS,50.9,2015-03-01
565,HERNANDEZ CALIFORNIA, RAWS,58.0,2015-03-01
566,HIGH GLADE LOOKOUT CALIFORNIA, RAWS,52.1,2015-03-01
567,HIGH SIERRA CALIFORNIA, RAWS,44.4,2015-03-01
568,HOPLAND CALIFORNIA, RAWS,57.5,2015-03-01
569,HOLLISTER CALIFORNIA, RAWS,59.9,2015-03-01
570,HUNTER MOUNTAIN CALIFORNIA, RAWS,47.9,2015-03-01
571,HORSE LAKE CALIFORNIA, RAWS,43.5,2015-03-01
572,HOOPA CALIFORNIA, RAWS,57.0,2015-03-01
573,HORSE THIEF SPRINGS CALIFORNIA, RAWS,57.3,2015-03-01
574,HURLEY CALIFORNIA, RAWS,57.0,2015-03-01
575,INDIAN WELL CALIFORNIA, RAWS,46.6,2015-03-01
576,JARBO GAP CALIFORNIA, RAWS,58.3,2015-03-01
577,JERSEYDALE CALIFORNIA, RAWS,57.4,2015-03-01
578,JOHNSONDALE CALIFORNIA, RAWS,49.0,2015-03-01
579,JUANITA LAKE CALIFORNIA, RAWS,47.3,2015-03-01
580,JULIAN CALIFORNIA, RAWS,56.0,2015-03-01
581,JUNIPER CREEK CALIFORNIA, RAWS,46.9,2015-03-01
582,KEENWILD CALIFORNIA, RAWS,56.2,2015-03-01
583,KETTLEMAN HILLS CALIFORNIA, RAWS,67.1,2015-03-01
584,KNOXVILLE CREEK CALIFORNIA, RAWS,57.4,2015-03-01
585,KONOCTI CALIFORNIA, RAWS,58.9,2015-03-01
586,LOS BANOS CALIFORNIA, RAWS,64.0,2015-03-01
587,MT. LAGUNA CALIFORNIA, RAWS,49.8,2015-03-01
588,LA HONDA CALIFORNIA, RAWS,57.0,2015-03-01
589,LA PANZA CALIFORNIA, RAWS,56.2,2015-03-01
590,LAURAL MOUNTAIN CALIFORNIA, RAWS,60.2,2015-03-01
591,LASSEN LODGE CALIFORNIA, RAWS,54.0,2015-03-01
592,LAUFMAN CALIFORNIA, RAWS,48.0,2015-03-01
593,LAYTONVILLE CALIFORNIA, RAWS,55.6,2015-03-01
594,LADDER BUTTE CALIFORNIA, RAWS,47.1,2015-03-01
595,LEO CARRILLO CALIFORNIA, RAWS,65.2,2015-03-01
596,LOS GATOS CALIFORNIA, RAWS,60.3,2015-03-01
597,LOST HORSE CALIFORNIA, RAWS,55.8,2015-03-01
598,LINCOLN CALIFORNIA, RAWS,59.2,2015-03-01
599,LOWER KLAMATH CALIFORNIA, RAWS,44.9,2015-03-01
600,LOS PRIETOS CALIFORNIA, RAWS,63.5,2015-03-01
601,LAS TABLAS CALIFORNIA, RAWS,56.7,2015-03-01
602,LITTLE TUJUNGA CALIFORNIA, RAWS,65.4,2015-03-01
603,SANTA ROSA ISLAND CALIFORNIA, RAWS,61.6,2015-03-01
604,SANTA ROSA PLATEAU CALIFORNIA, RAWS,64.1,2015-03-01
605,SANTA ROSA CALIFORNIA, RAWS,59.5,2015-03-01
606,STAMPEDE CALIFORNIA, RAWS,43.3,2015-03-01
607,STONYFORD CALIFORNIA, RAWS,57.8,2015-03-01
608,SUGARLOAF (SHF) CALIFORNIA, RAWS,54.9,2015-03-01
609,SPRING VALLEY CALIFORNIA, RAWS,58.4,2015-03-01
610,TANBARK CALIFORNIA, RAWS,63.0,2015-03-01
611,TEMESCAL (LPF) CALIFORNIA, RAWS,64.5,2015-03-01
612,THOMES CREEK CALIFORNIA, RAWS,62.4,2015-03-01
613,TIMBER MOUNTAIN CALIFORNIA, RAWS,47.1,2015-03-01
614,MOUNT TOM CALIFORNIA, RAWS,41.4,2015-03-01
615,LAS TRAMPAS CALIFORNIA, RAWS,59.6,2015-03-01
616,TRINITY CAMP CALIFORNIA, RAWS,52.0,2015-03-01
617,TRIMMER CALIFORNIA, RAWS,60.3,2015-03-01
618,UHL / HOT SPRINGS, RAWS,55.2,2015-03-01
619,UNDERWOOD CALIFORNIA, RAWS,53.5,2015-03-01
620,VALLEY CENTER CALIFORNIA, RAWS,63.9,2015-03-01
621,VAN BREMMER CALIFORNIA, RAWS,46.6,2015-03-01
622,VALYERMO CALIFORNIA, RAWS,56.7,2015-03-01
623,VANDENBERG CALIFORNIA, RAWS,61.3,2015-03-01
624,WALKER CALIFORNIA, RAWS,51.4,2015-03-01
625,WALKER PASS CALIFORNIA, RAWS,56.0,2015-03-01
626,WARM SPRINGS CALIFORNIA, RAWS,60.2,2015-03-01
627,WEED AIRPORT CALIFORNIA, RAWS,50.0,2015-03-01
628,WESTWOOD CALIFORNIA, RAWS,46.4,2015-03-01
629,WHITE CLOUD CALIFORNIA, RAWS,54.8,2015-03-01
630,WHITTIER HILLS CALIFORNIA, RAWS,69.1,2015-03-01
631,WHITMORE CALIFORNIA, RAWS,56.9,2015-03-01
632,WILEY RIDGE CALIFORNIA, RAWS,65.4,2015-03-01
633,WOFFORD HEIGHTS CALIFORNIA, RAWS,57.9,2015-03-01
634,WOLVERTON CALIFORNIA, RAWS,55.1,2015-03-01
635,WOODACRE CALIFORNIA, RAWS,59.5,2015-03-01
636,WHITAKER PEAK CALIFORNIA, RAWS,60.6,2015-03-01
637,WHITE WOLF CALIFORNIA, RAWS,40.8,2015-03-01
638,YOLLA BOLLA CALIFORNIA, RAWS,50.9,2015-03-01
639,YUCCA VALLEY CALIFORNIA, RAWS,59.7,2015-03-01
640,YUROK CALIFORNIA, RAWS,57.8,2015-03-01
641,HAGAN'S MEADOW, Snotel,39.2,2015-03-01
642,BLUE LAKES, Snotel,37.4,2015-03-01
643,POISON FLAT, Snotel,38.8,2015-03-01
644,SONORA PASS, Snotel,38.0,2015-03-01
645,LEAVITT MEADOWS, Snotel,42.1,2015-03-01
646,VIRGINIA LAKES RIDGE, Snotel,38.4,2015-03-01
647,LOBDELL LAKE, Snotel,36.9,2015-03-01
648,EBBETTS PASS, Snotel,39.5,2015-03-01
649,HEAVENLY VALLEY, Snotel,38.1,2015-03-01
650,LEAVITT LAKE, Snotel,37.8,2015-03-01
651,SPRATT CREEK, Snotel,44.4,2015-03-01
652,MONITOR PASS, Snotel,40.8,2015-03-01
653,BURNSIDE LAKE, Snotel,35.7,2015-03-01
654,SUMMIT MEADOW, Snotel,37.7,2015-03-01
655,FORESTDALE CREEK, Snotel,40.9,2015-03-01
656,HORSE MEADOW, Snotel,39.0,2015-03-01
657,CARSON PASS, Snotel,39.0,2015-03-01
658,CROWDER FLAT, Snotel,44.0,2015-03-01
659,CEDAR PASS, Snotel,42.4,2015-03-01
660,DISMAL SWAMP, Snotel,37.8,2015-03-01
661,ADIN MTN, Snotel,40.4,2015-03-01
662,INDEPENDENCE CREEK, Snotel,41.0,2015-03-01
663,INDEPENDENCE CAMP, Snotel,41.0,2015-03-01
664,INDEPENDENCE LAKE, Snotel,39.8,2015-03-01
665,TRUCKEE #2, Snotel,44.2,2015-03-01
666,WARD CREEK #3, Snotel,41.5,2015-03-01
667,TAHOE CITY CROSS, Snotel,43.1,2015-03-01
668,SQUAW VALLEY G.C., Snotel,40.6,2015-03-01
669,CSS LAB, Snotel,43.6,2015-03-01
670,RUBICON #2, Snotel,41.8,2015-03-01
671,ECHO PEAK, Snotel,42.2,2015-03-01
672,FALLEN LEAF, Snotel,41.6,2015-03-01
673,BEAR VALLEY F.D., COOP,48.6,2015-03-01
0,CULVER CITY, COOP,63.8,2015-04-01
1,SANTA MONICA MUNICIPAL AP, WBAN,63.7,2015-04-01
2,ONTARIO INTL AP, WBAN,65.5,2015-04-01
3,POMONA/FAIRPLEX, COOP,64.8,2015-04-01
4,U C L A, COOP,63.9,2015-04-01
5,IRON MOUNTAIN, COOP,73.4,2015-04-01
6,TWENTYNINE PALMS, COOP,68.2,2015-04-01
7,JOSHUA TREE, COOP,62.6,2015-04-01
8,POINT MUGU NF, WBAN,63.0,2015-04-01
9,WOODLAND HILLS PIERCE COLLEGE, COOP,63.8,2015-04-01
10,MT WILSON CBS, COOP,53.1,2015-04-01
11,VAN NUYS AP, WBAN,65.8,2015-04-01
12,CAMARILLO AP, WBAN,61.3,2015-04-01
13,OXNARD VENTURA COUNTY AP, WBAN,60.7,2015-04-01
14,PARKER RESRVOIR, COOP,69.7,2015-04-01
15,BIG BEAR LAKE, COOP,44.2,2015-04-01
16,SANTA BARBARA MUNI AP, WBAN,60.2,2015-04-01
17,IMPERIAL, COOP,73.3,2015-04-01
18,EL CAPITAN DAM, COOP,66.9,2015-04-01
19,POWAY VALLEY, COOP,63.7,2015-04-01
20,JULIAN CDF, COOP,53.7,2015-04-01
21,CARLSBAD MCCLELLAN PALOMAR AP, WBAN,62.8,2015-04-01
22,HENSHAW DAM, COOP,55.2,2015-04-01
23,VISTA, COOP,62.2,2015-04-01
24,OCEANSIDE MARINA, COOP,60.5,2015-04-01
25,BORREGO DESERT PARK, COOP,71.4,2015-04-01
26,PALOMAR MTN OBSERVATORY, COOP,52.4,2015-04-01
27,MECCA FIRE STATION, COOP,73.3,2015-04-01
28,BLYTHE ASOS, WBAN,72.6,2015-04-01
29,DESERT RESORTS REGIONAL AP, WBAN,71.7,2015-04-01
30,ELSINORE, COOP,64.7,2015-04-01
31,SANTA ANA JOHN WAYNE AP, WBAN,64.6,2015-04-01
32,HAYFIELD PUMPING PLANT, COOP,69.7,2015-04-01
33,IDYLLWILD FIRE DEPT, COOP,51.5,2015-04-01
34,SAN JACINTO RS, COOP,63.8,2015-04-01
35,HEMET, COOP,62.6,2015-04-01
36,SANTA ANA FIRE STATION, COOP,66.4,2015-04-01
37,EAGLE MOUNTAIN, COOP,71.1,2015-04-01
38,LONG BEACH DAUGHERTY AP, WBAN,65.9,2015-04-01
39,FULLERTON MUNICIPAL AP, WBAN,66.7,2015-04-01
40,MARCH AFB, WBAN,61.1,2015-04-01
41,HAWTHORNE MUNICIPAL AP, WBAN,65.5,2015-04-01
42,LOS ANGELES INTL AP, WBAN,62.2,2015-04-01
43,RIVERSIDE FIRE STATION 3, COOP,65.6,2015-04-01
44,RIVERSIDE MUNICIPAL AP, WBAN,65.6,2015-04-01
45,CHINO AP, WBAN,64.8,2015-04-01
46,VICTORVILLE, COOP,59.3,2015-04-01
47,GIBRALTAR DAM NO. 2, COOP,58.9,2015-04-01
48,AMBOY, COOP,72.8,2015-04-01
49,PALMDALE, COOP,62.0,2015-04-01
50,SAUGUS POWER PLANT 1, COOP,60.3,2015-04-01
51,CACHUMA LAKE, COOP,57.5,2015-04-01
52,PALMDALE AP, WBAN,60.3,2015-04-01
53,LOMPOC, COOP,59.4,2015-04-01
54,LANCASTER, WBAN,59.4,2015-04-01
55,SANDBERG, WBAN,56.1,2015-04-01
56,LEBEC, WBAN,53.2,2015-04-01
57,NEW CUYAMA FIRE STATION, COOP,57.4,2015-04-01
58,TWITCHELL DAM, COOP,55.5,2015-04-01
59,MOJAVE, COOP,61.5,2015-04-01
60,PISMO BEACH, COOP,58.3,2015-04-01
61,SALINAS DAM, COOP,60.5,2015-04-01
62,RANDSBURG, COOP,61.3,2015-04-01
63,SANTA MARGARITA BOOST, COOP,60.6,2015-04-01
64,MORRO BAY FIRE DEPT, COOP,60.5,2015-04-01
65,BAKERSFIELD AP, WBAN,65.5,2015-04-01
66,BUTTONWILLOW, COOP,63.7,2015-04-01
67,GLENNVILLE, COOP,49.8,2015-04-01
68,TRONA, COOP,66.4,2015-04-01
69,DELANO, COOP,64.4,2015-04-01
70,KETTLEMAN CITY, COOP,64.1,2015-04-01
71,HAIWEE, COOP,56.2,2015-04-01
72,CORCORAN IRRIGATION DIST., COOP,64.7,2015-04-01
73,COALINGA, WBAN,65.0,2015-04-01
74,KING CITY, COOP,59.3,2015-04-01
75,LINDSAY, COOP,61.4,2015-04-01
76,BIG SUR STATION, COOP,56.5,2015-04-01
77,VISALIA, COOP,62.6,2015-04-01
78,FIVE POINTS 5 SSW, COOP,61.6,2015-04-01
79,ASH MOUNTAIN, COOP,58.9,2015-04-01
80,THREE RIVERS EDISON PH 1, COOP,60.3,2015-04-01
81,PINNACLES NM, COOP,57.7,2015-04-01
82,CARMEL VALLEY, COOP,55.9,2015-04-01
83,LODGEPOLE, COOP,38.3,2015-04-01
84,MONTEREY, COOP,55.4,2015-04-01
85,SALINAS NO. 2, COOP,56.3,2015-04-01
86,SALINAS AP, WBAN,59.0,2015-04-01
87,GRANT GROVE, COOP,42.5,2015-04-01
88,HOLLISTER 2, COOP,57.9,2015-04-01
89,BALCH POWER HOUSE, COOP,59.7,2015-04-01
90,WATSONVILLE WATERWORKS, COOP,57.4,2015-04-01
91,FRIANT GOVERNMENT CAMP, COOP,61.9,2015-04-01
92,MADERA, COOP,62.2,2015-04-01
93,GILROY, COOP,58.2,2015-04-01
94,AUBERRY 2 NW, COOP,59.6,2015-04-01
95,LOS BANOS, COOP,62.6,2015-04-01
96,BEN LOMOND NO. 4, COOP,56.5,2015-04-01
97,MORGAN HILL, COOP,,2015-04-01
98,NORTH FORK RS, COOP,53.3,2015-04-01
99,LOS GATOS, COOP,58.3,2015-04-01
100,NEWMAN, COOP,65.7,2015-04-01
101,MOUNT HAMILTON, WBAN,50.1,2015-04-01
102,BISHOP AP, WBAN,56.5,2015-04-01
103,MOFFETT FEDERAL AIRFIELD, WBAN,59.6,2015-04-01
104,TURLOCK #2, COOP,61.9,2015-04-01
105,PALO ALTO, COOP,59.3,2015-04-01
106,REDWOOD CITY, COOP,58.8,2015-04-01
107,HALF MOON BAY, COOP,53.2,2015-04-01
108,PACIFIC HOUSE, COOP,50.8,2015-04-01
109,CLOVERDALE, COOP,61.5,2015-04-01
110,SOUTH LAKE TAHOE AP, WBAN,43.0,2015-04-01
111,GEORGETOWN RS, COOP,54.4,2015-04-01
112,AUBURN, COOP,58.1,2015-04-01
113,CLEARLAKE 4 SE, COOP,55.8,2015-04-01
114,MARYSVILLE YUBA COUNTY AP, WBAN,61.6,2015-04-01
115,UKIAH MUNICIPAL AP, WBAN,58.0,2015-04-01
116,SONOMA, COOP,57.6,2015-04-01
117,SUTTER HILL CDF, COOP,58.9,2015-04-01
118,GRATON, COOP,57.2,2015-04-01
119,OCCIDENTAL, COOP,55.8,2015-04-01
120,SACRAMENTO EXECUTIVE AP, WBAN,61.9,2015-04-01
121,WINTERS, WBAN,61.9,2015-04-01
122,LAKE SOLANO, COOP,62.9,2015-04-01
123,SAINT HELENA, COOP,61.3,2015-04-01
124,FORT ROSS, COOP,52.4,2015-04-01
125,SACRAMENTO 5ESE, WBAN,63.2,2015-04-01
126,ANGWIN PACIFIC UNION COLLEGE, COOP,56.3,2015-04-01
127,CALISTOGA, COOP,59.0,2015-04-01
128,WOODLAND 1 WNW, COOP,65.8,2015-04-01
129,SACRAMENTO METROPOLITAN AP, WBAN,60.9,2015-04-01
130,SO ENTRANCE YOSEMITE N.P., COOP,44.3,2015-04-01
131,NEWARK, COOP,58.7,2015-04-01
132,MODESTO CITY COUNTY AP, WBAN,63.7,2015-04-01
133,HAYWARD AIR TERMINAL, WBAN,58.3,2015-04-01
134,TRACY CARBONA, COOP,61.3,2015-04-01
135,LIVERMORE MUNICIPAL AP, WBAN,60.4,2015-04-01
136,OAKLAND METROPOLITAN INTL AP, WBAN,57.8,2015-04-01
137,SAN FRANCISCO DOWNTOWN, WBAN,57.0,2015-04-01
138,SAN FRANCISCO OCEANSIDE, COOP,55.5,2015-04-01
